Text,Response
1703665688.117417: wl2: ap_sta_disconnect addr 42:da:44:6c:13:0a reason=14,Disconnected
1703665688.118742: wl2: ap_sta_disconnect: reschedule ap_handle_timer timeout for 42:da:44:6c:13:0a (5 seconds - AP_MAX_INACTIVITY_AFTER_DEAUTH),Disconnected
1703665688.118763: WPA: 42:da:44:6c:13:0a WPA_PTK entering state DISCONNECTED,Disconnected
"1703665688.119373: 1703665688.119375: wl2: STA 42:da:44:6c:13:0a MLME: MLME-DEAUTHENTICATE.indication(42:da:44:6c:13:0a, 14)",Deauthenticate
1703665688.125073: 1703665688.125075: wl2: STA 42:da:44:6c:13:0a IEEE 802.11: disassociated,Disassociated
1703665688.125506: WPA: 42:da:44:6c:13:0a WPA_PTK entering state DISCONNECTED,Disconnected
1703665688.856914: 1703665688.856916: wl2: STA 42:da:44:6c:13:0a IEEE 802.11: disassociated,Disassociated
1703665817.410054: 1703665817.410056: wl2: STA 70:cd:0d:c7:d7:65 IEEE 802.11: disassociated,Disassociated
1703665817.410114: wl2: AP-STA-DISCONNECTED 70:cd:0d:c7:d7:65,Disconnected
1703665817.410552: WPA: 70:cd:0d:c7:d7:65 WPA_PTK entering state DISCONNECTED,Disconnected
1703665817.411150: 1703665817.411152: wl2: STA 70:cd:0d:c7:d7:65 IEEE 802.11: disassociated,Disassociated
1703665878.946464: 1703665878.946466: wl2: STA 70:cd:0d:c6:05:7f IEEE 802.11: disassociated,Disassociated
1703665878.946523: wl2: AP-STA-DISCONNECTED 70:cd:0d:c6:05:7f,Disconnected
1703665878.947439: WPA: 70:cd:0d:c6:05:7f WPA_PTK entering state DISCONNECTED,Disconnected
1703665878.948105: 1703665878.948107: wl2: STA 70:cd:0d:c6:05:7f IEEE 802.11: disassociated,Disassociated
1703666035.991696: 1703666035.991698: wl2: STA 70:cd:0d:c7:d7:65 IEEE 802.11: disassociated,Disassociated
1703666035.991755: wl2: AP-STA-DISCONNECTED 70:cd:0d:c7:d7:65,Disconnected
1703666035.992283: WPA: 70:cd:0d:c7:d7:65 WPA_PTK entering state DISCONNECTED,Disconnected
1703666035.992921: 1703666035.992923: wl2: STA 70:cd:0d:c7:d7:65 IEEE 802.11: disassociated,Disassociated
